"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3";"C_Disc_D10.0mm_W2.5mm_P5.00mm";3;"10uF";;;
2;"GND1, VCC1";"TestPoint_THTPad_3.0x3.0mm_Drill1.5mm";2;"TestPoint";;;
3;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
4;"J2";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
5;"R1, R2, R3, R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"220";;;
6;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
7;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
8;"U1";"DIP-8_W7.62mm";1;"ATtiny85";;;
9;"U2";"CA56-12SURKWA";1;"CC56-12SURKWA";;;
10;"U3, U4";"DIP-16_W7.62mm";2;"74HC595";;;
